flow_id,created_at,finished_at,status,type,region,user_id,org_id,tokens_in,tokens_out,llm_calls
e1cff0eb-479d-4c7e-8a3b-052ab59e999d,2024-10-09 12:11:55.863384 UTC,2024-10-09 12:13:10.746038 UTC,SUCCESS,sdb,uk,a0da1a4b12f8c8b2928c22aaaa550c687b770333199426a62a7821f071aea1ad,ac2c76f4d160ef3b81bef4ca60edfa4843901c7e8ee5f3699b419b125133308f,116882,814,103
118f64fc-9600-49fc-9df9-0093a787bc55,2024-10-09 13:47:23.312049 UTC,2024-10-09 13:48:38.656773 UTC,SUCCESS,sdb,uk,fea9c6503525aa334f3c24751a3a068e0b24a353e09d4ebd2f5403d90a633410,e12febdc748f6acd2921a886343e1f41d133de7c19fb9bb4a7f871f85a2da7f3,185114,937,158
06a64b2e-e39d-4b62-a91a-4c9e58596214,2024-10-09 13:45:24.049921 UTC,2024-10-09 13:46:19.314224 UTC,SUCCESS,sdb,uk,fea9c6503525aa334f3c24751a3a068e0b24a353e09d4ebd2f5403d90a633410,e12febdc748f6acd2921a886343e1f41d133de7c19fb9bb4a7f871f85a2da7f3,84081,703,74
6ed258d7-a895-48ac-a433-3ec2fc9bcb30,2024-10-09 13:41:45.138533 UTC,2024-10-09 13:42:54.665148 UTC,SUCCESS,sdb,uk,fea9c6503525aa334f3c24751a3a068e0b24a353e09d4ebd2f5403d90a633410,e12febdc748f6acd2921a886343e1f41d133de7c19fb9bb4a7f871f85a2da7f3,188562,1010,164
e3520592-eaa4-4e96-bf3c-c04707501076,2024-10-09 13:44:16.430752 UTC,2024-10-09 13:44:34.772739 UTC,SUCCESS,sdb,uk,fea9c6503525aa334f3c24751a3a068e0b24a353e09d4ebd2f5403d90a633410,e12febdc748f6acd2921a886343e1f41d133de7c19fb9bb4a7f871f85a2da7f3,169553,501,149
e6043c61-905d-4d37-8355-fa48502d0e6c,2024-10-09 13:59:44.354672 UTC,2024-10-09 14:01:28.661235 UTC,SUCCESS,sdb,uk,4ecb41adfb8b451d4adf4475b8c2e7edebd5f58ac6fe90e8ff102d6a0f3ab8a4,e12febdc748f6acd2921a886343e1f41d133de7c19fb9bb4a7f871f85a2da7f3,322958,2021,286
0d3be594-3e12-45ba-96cb-1c6b97cf3b59,2024-10-09 14:11:34.014689 UTC,2024-10-09 14:12:41.989222 UTC,SUCCESS,sdb,uk,4ecb41adfb8b451d4adf4475b8c2e7edebd5f58ac6fe90e8ff102d6a0f3ab8a4,e12febdc748f6acd2921a886343e1f41d133de7c19fb9bb4a7f871f85a2da7f3,261541,1168,223
2ffaa16a-f04c-4852-b2b7-b51c657d88fe,2024-10-09 14:06:05.510278 UTC,2024-10-09 14:07:14.962779 UTC,SUCCESS,sdb,uk,4ecb41adfb8b451d4adf4475b8c2e7edebd5f58ac6fe90e8ff102d6a0f3ab8a4,e12febdc748f6acd2921a886343e1f41d133de7c19fb9bb4a7f871f85a2da7f3,97862,603,83
4fae1863-278f-49ad-9c00-3c5b6b7783ff,2024-10-09 09:23:08.288033 UTC,2024-10-09 09:24:02.917653 UTC,SUCCESS,sdb,uk,af7e4c43cdc25701b66cd94e7e34eadab540c1ddee113b39ec934734ab60bcda,4800672f79d4a381256072f457e827cfc0d390dbdbdda1b2866c1c4eb237e63c,105293,702,93
f5e3b880-054a-42ad-be8d-884f02acbfa9,2024-10-09 21:14:30.922658 UTC,2024-10-09 21:15:41.099640 UTC,SUCCESS,sdb,uk,f7dce02601be5550e7b98973597e9df098c4249a45d8bc461457a3ff68c5f913,7b60c3f6c397d65c9b724eeab251c8ad46d2dac84b54c52cf1d5c8b1ed2c3bf9,163233,631,148
04888181-01b1-479d-893f-c38aa9d4868e,2024-10-09 00:22:17.252280 UTC,2024-10-09 00:23:27.859533 UTC,SUCCESS,sdb,uk,f7dce02601be5550e7b98973597e9df098c4249a45d8bc461457a3ff68c5f913,7b60c3f6c397d65c9b724eeab251c8ad46d2dac84b54c52cf1d5c8b1ed2c3bf9,221957,824,202
0a0f5784-f815-423e-b743-467a2f02822e,2024-10-09 09:29:30.235104 UTC,2024-10-09 09:29:45.033246 UTC,SUCCESS,timeline,uk,07fd462548e0c468fb86ef28336a8018a1f7c0384af37cbc20268e964b55e975,87c3189b32f9d71ae7cf669accb0081cb171d017ac8e2c2e19ec7b3592597c5d,10360,663,4
8f05d6c2-5c4a-478f-9011-583170527bf3,2024-10-09 13:06:46.376892 UTC,2024-10-09 15:40:02.146414 UTC,SUCCESS,timeline,uk,a345c42ea0fb00cbf32fbf3e3aea7a8ed1ef5e3121a5a041661aa71402c0f6ce,db754b0af57a9c51c62195edc097e7f93342ceece2e15c05944fb4c1791b6943,18919402,627369,9888
08e2e274-43b3-4f20-b617-1be6f065e9d0,2024-10-09 09:33:10.430730 UTC,2024-10-09 09:37:05.219789 UTC,SUCCESS,timeline,uk,016e36372550c9068330c3c705f68932fdad7f1ef6499f43a703af71a4f91fbc,d01be009027a2c7d82e0e00080c9ec3220440466cee6888e66f7c54c23eff5b8,492996,5684,162
623fea71-75c6-4656-b4f6-ac25381f6814,2024-10-09 10:28:11.830312 UTC,2024-10-09 10:32:17.178227 UTC,SUCCESS,timeline,uk,016e36372550c9068330c3c705f68932fdad7f1ef6499f43a703af71a4f91fbc,d01be009027a2c7d82e0e00080c9ec3220440466cee6888e66f7c54c23eff5b8,508614,5768,188
7b1a6728-84fe-4946-b2ab-a236f3234ed1,2024-10-09 17:22:22.523995 UTC,2024-10-09 17:24:59.169713 UTC,SUCCESS,timeline,uk,71bd2c213458ffc243aab8ae515d6b975c433356c90806b24a7e8cdef20b1812,d0188f342ee1f13bb618c45c6ee0336e58770b3fb27dfee99eaa6c00b88a1a11,289181,13241,176
